message,label,prediction
"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-).",0,0.0
1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,0,1.0
"2 celebrate my b��day, y else?",0,1.0
2mro i am not coming to gym machan. Goodnight.,0,1.0
3 pa but not selected.,0,0.0
4 oclock at mine. Just to bash out a flat plan.,0,1.0
:-) :-),0,1.0
";-( oh well, c u later",0,0.0
Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,0,0.0
Actually i'm waiting for 2 weeks when they start putting ad.,0,0.0
After completed degree. There is no use in joining finance.,0,0.0
Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!,0,0.0
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,0.0
Aight well keep me informed,0,0.0
"Aight, I'll hit you up when I get some cash",0,0.0
Aiyah ok wat as long as got improve can already wat...,0,0.0
Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,0,0.0
"Aldrine, rakhesh ex RTM here.pls call.urgent.",0,1.0
"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",0,0.0
"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",0,0.0
Also remember to get dobby's bowl from your car,0,1.0
Also where's the piece,0,0.0
Am also doing in cbe only. But have to pay.,0,0.0
Am i that much bad to avoid like this?,0,0.0
Am in gobi arts college,0,0.0
Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,0,0.0
And miss vday the parachute and double coins??? U must not know me very well...,0,0.0
And pls pls drink plenty plenty water,0,0.0
And popping &lt;#&gt; ibuprofens was no help.,0,0.0
"And that's fine, I got enough bud to last most of the night at least",0,0.0
And whenever you and i see we can still hook up too.,0,0.0
Anything lor is she coming?,0,0.0
Anything lor... U decide...,0,0.0
Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,0,0.0
Are you available for soiree on June 3rd?,0,0.0
Are you coming to day for class.,0,0.0
Are you going to write ccna exam this week??,0,0.0
Are you staying in town ?,0,0.0
Arun can u transfr me d amt,0,0.0
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,0.0
"As usual..iam fine, happy &amp; doing well..:)",0,0.0
At what time are you coming.,0,0.0
Ay wana meet on sat?�_ wkg on sat?,0,1.0
Babe ? I lost you ... :-(,0,0.0
Back in brum! Thanks for putting us up and keeping us all and happy. See you soon,0,0.0
Badrith is only for chennai:)i will surely pick for us:)no competition for him.,0,0.0
Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,0,0.0
"Bill, as in: Are there any letters for me. i�۪m expecting one from orange that isn�۪t a bill but may still say orange on it.",0,0.0
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",0,0.0
Boo what time u get out? U were supposed to take me shopping today. :(,0,0.0
Bugis oso near wat...,0,0.0
But i juz remembered i gotta bathe my dog today..,0,0.0
But i'm really really broke oh. No amount is too small even  &lt;#&gt;,0,0.0
But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,0,0.0
But that's on ebay it might be less elsewhere.,0,0.0
Buy one egg for me da..please:),0,0.0
"By the way, 'rencontre' is to meet again. Mountains dont....",0,0.0
Cab is available.they pick up and drop at door steps.,0,0.0
"Call me, i am senthil from hsbc.",0,0.0
"Call me. I m unable to cal. Lets meet bhaskar, and deep",0,0.0
"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks!",0,0.0
Can i get your opinion on something first?,0,0.0
Can i meet �_ at 5.. As 4 where depends on where �_ wan 2 in lor..,0,0.0
Can not use foreign stamps in this country.,0,0.0
Can u look 4 me in da lib i got stuff havent finish yet.,0,0.0
Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,0,0.0
Can �_ send me a copy of da report?,0,0.0
Carlos says he'll be at mu in  &lt;#&gt;  minutes,0,0.0
Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,0,0.0
Check audrey's status right now,0,0.0
"Come round, it's .",0,0.0
"Come to mu, we're sorting out our narcotics situation",0,0.0
Compliments to you. Was away from the system. How your side.,0,0.0
Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,0,0.0
Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,0,0.0
"Cool, I'll text you in a few",0,0.0
"Cool, text me when you head out",0,0.0
"Cool, text me when you're ready",0,0.0
Cool. Do you like swimming? I have a pool and jacuzzi at my house.,0,0.0
Cos i want it to be your thing,0,0.0
Cuz ibored. And don wanna study,0,0.0
Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,0,0.0
Dare i ask... Any luck with sorting out the car?,0,1.0
Dear :-/ why you mood off. I cant drive so i brother to drive,0,0.0
"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",0,0.0
"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.",0,0.0
Dear i am not denying your words please,0,0.0
Dear umma she called me now :-),0,0.0
Dear where you will be when i reach there,0,0.0
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",0,0.0
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",0,0.0
Did u download the fring app?,0,0.0
Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,0,0.0
Did u fix the teeth?if not do it asap.ok take care.,0,0.0
Discussed with your mother ah?,0,1.0
"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",0,0.0
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,0,0.0
Do u still have plumbers tape and a wrench we could borrow?,0,0.0
Do you always celebrate NY's with your family ?,0,0.0
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,0.0
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",0,1.0
Do you want bold 2 or bb torch,0,0.0
"Doing nothing, then u not having dinner w us?",0,0.0
Don know..wait i will check it.,0,0.0
Don no da:)whats you plan?,0,0.0
Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,0,0.0
Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,0,0.0
Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,0,0.0
Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,0,0.0
Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.,0,0.0
Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,0,0.0
Dunno da next show aft 6 is 850. Toa payoh got 650.,0,0.0
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,0,0.0
Dunno lei... I might b eatin wif my frens... If �_ wan to eat then i wait 4 �_ lar,0,0.0
Easy ah?sen got selected means its good..,0,0.0
"Ela kano.,il download, come wen ur free..",0,0.0
"Er, hello, things didn���t quite go to plan ��� is limping slowly home followed by aa and with exhaust hanging off",0,0.0
Erm. I thought the contract ran out the4th of october.,0,0.0
"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",0,0.0
Even if he my friend he is a priest call him now,0,0.0
Even my brother is not like to speak with me. They treat me like aids patent.,0,0.0
Every day i use to sleep after  &lt;#&gt;  so only.,0,0.0
Fffff. Can you text kadeem or are you too far gone,0,1.0
Ffffffffff. Alright no way I can meet up with you sooner?,0,0.0
Finished class where are you.,0,0.0
For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;,0,0.0
For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,0,0.0
"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",0,0.0
"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",0,0.0
"Friendship is not a game to play, It is not a word to say, It doesn\\'t start on March and ends on May, It is tomorrow, yesterday, today and e",0,0.0
From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,0,0.0
Fuck babe ... What happened to you ? How come you never came back?,0,0.0
Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,0,0.0
Genius what's up. How your brother. Pls send his number to my skype.,0,0.0
Get me out of this dump heap. My mom decided to come to lowes. BORING.,0,0.0
"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.",0,0.0
Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,0,0.0
God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,0,0.0
Good Morning my Dear........... Have a great &amp; successful day.,0,0.0
"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",0,0.0
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",0,0.0
"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",0,0.0
Good evening! How are you?,0,0.0
Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),0,0.0
"Good stuff, will do.",0,0.0
Good. do you think you could send me some pix? I would love to see your top and bottom...,0,0.0
Goodmorning sleeping ga.,0,1.0
"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",0,0.0
"Goodmorning, today i am late for 2hrs. Because of back pain.",0,0.0
Goodnight da thangam I really miss u dear.,0,0.0
"Goodnight, sleep well da please take care pa. Please.",0,0.0
Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,0,0.0
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",0,0.0
Great! How is the office today?,0,0.0
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,0.0
Great. Have a safe trip. Dont panic surrender all.,0,0.0
"Gud gud..k, chikku tke care.. sleep well gud nyt",0,0.0
Gud mrng dear hav a nice day,0,0.0
Gud ni8 dear..slp well..take care..swt dreams..Muah..,0,0.0
"Gumby's has a special where a  &lt;#&gt; \\ cheese pizza is $2 so I know what we're doin tonight\"\"",0,0.0
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,0.0
HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,0,0.0
HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX,0,0.0
HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,0,0.0
HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN,0,0.0
Ha ha - had popped down to the loo when you hello-ed me. Hello!,0,0.0
Ha ha cool cool chikku chikku:-):-DB-),0,0.0
"Ha. You don���t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.",0,0.0
Haha i think i did too,0,0.0
"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",0,0.0
Haha... Hope �_ can hear the receipt sound... Gd luck!,0,0.0
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",0,0.0
Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,0,0.0
Happy New Year Princess!,0,1.0
Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,0,0.0
Happy birthday... May all ur dreams come true...,0,0.0
Happy new year to u too!,0,1.0
"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",0,0.0
Have a nice day my dear.,0,0.0
Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,0,0.0
Have you always been saying welp?,0,0.0
Have you bookedthe hut? And also your time off? How are you by the way?,0,0.0
Have you finished work yet? :),0,0.0
Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!,0,0.0
Have you seen who's back at Holby?!,0,0.0
Have you started in skye,0,0.0
Haven't left yet so probably gonna be here til dinner,0,0.0
"Haven't seen my facebook, huh? Lol!",0,0.0
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,0.0
He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. �� got a lot of work ar?,0,0.0
He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,0,0.0
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,0,0.0
Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u,0,0.0
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,0.0
Hey come online! Use msn... We are all there,0,0.0
Hey company elama po mudyadhu.,0,0.0
Hey do you want anything to buy:),0,0.0
Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,0,0.0
Hey happy birthday...,0,0.0
Hey i will be late ah... Meet you at 945+,0,0.0
Hey i've booked the 2 lessons on sun liao...,0,0.0
Hey leave it. not a big deal:-) take care.,0,0.0
Hey morning what you come to ask:-) pa...,0,0.0
Hey mr whats the name of that bill brison book the one about language and words,0,0.0
Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,0,0.0
Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya,0,0.0
Hey we can go jazz power yoga hip hop kb and yogasana,0,0.0
Hey what happen de. Are you alright.,0,0.0
Hey you around? I've got enough for a half + the ten I owe you,0,0.0
"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.",0,0.0
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur ��rents mayb interested in it, I hav 12,000pes, so around �48, tb, James.",0,0.0
Hi dear we saw dear. We both are happy. Where you my battery is low,0,0.0
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,0,0.0
Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing,0,0.0
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0,0.0
Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x,0,1.0
Hi mom we might be back later than  &lt;#&gt;,0,0.0
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",0,0.0
Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,0,0.0
Hi. I'm sorry i missed your call. Can you pls call back.,0,0.0
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\"",0,0.0
Hi.:)technical support.providing assistance to us customer through call and email:),0,0.0
His frens go then he in lor. Not alone wif my mum n sis lor.,0,0.0
Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),0,0.0
Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,0,0.0
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,0.0
"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",0,0.0
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",0,0.0
Home so we can always chat,0,0.0
Hope you��re not having too much fun without me!! see u tomorrow love jess x,0,0.0
Horrible bf... I now v hungry...,0,0.0
Host-based IDPS for linux systems.,0,0.0
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",0,0.0
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",0,0.0
How come guoyang go n tell her? Then u told her?,0,0.0
How come i din c �_... Yup i cut my hair...,0,0.0
How did you find out in a way that didn't include all of these details,0,0.0
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",0,0.0
How much it will cost approx . Per month.,0,0.0
How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,0,0.0
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,0,0.0
How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,0,0.0
Howz that persons story,0,0.0
Huh but i cant go 2 ur house empty handed right?,0,0.0
I absolutely LOVE South Park! I only recently started watching the office.,0,0.0
I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,0,0.0
I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,0,0.0
I am great princess! What are you thinking about me? :),0,0.0
I am in escape theatre now. . Going to watch KAVALAN in a few minutes,0,0.0
"I am in tirupur da, once you started from office call me.",0,0.0
I am late. I will be there at,0,0.0
I am not sure about night menu. . . I know only about noon menu,0,0.0
"I am real, baby! I want to bring out your inner tigress...",0,0.0
I borrow ur bag ok.,0,0.0
"I call you later, don't have network. If urgnt, sms me.",0,0.0
"I call you later, don't have network. If urgnt, sms me.",0,0.0
I came hostel. I m going to sleep. Plz call me up before class. Hrishi.,0,0.0
I can do that! I want to please you both inside and outside the bedroom...,0,1.0
"I can probably come by, everybody's done around  &lt;#&gt;  right?",0,0.0
I can take you at like noon,0,0.0
I can't make it tonight,0,0.0
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,0,0.0
I cant pick the phone right now. Pls send a message,0,0.0
I cant pick the phone right now. Pls send a message,0,0.0
I cant pick the phone right now. Pls send a message,0,0.0
I cant pick the phone right now. Pls send a message,0,0.0
I cant pick the phone right now. Pls send a message,0,0.0
I cant wait to see you! How were the photos were useful? :),0,0.0
"I don't think I can get away for a trek that long with family in town, sorry",0,0.0
I donno if they are scorable,0,0.0
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,0,0.0
I dont thnk its a wrong calling between us,0,0.0
I doubt you could handle 5 times per night in any case...,0,1.0
I dunno until when... Lets go learn pilates...,0,0.0
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,0,0.0
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,0,0.0
I gotta collect da car at 6 lei.,0,0.0
I had askd u a question some hours before. Its answer,0,0.0
"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.",0,0.0
"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",0,0.0
I havent lei.. Next mon can?,0,0.0
I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,0,0.0
I know she called me,0,0.0
"I know where the  &lt;#&gt;  is, I'll be there around 5",0,0.0
I know you are serving. I mean what are you doing now.,0,0.0
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,0.0
I liked your new house,0,0.0
I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,0,0.0
I luv u soo much u don��t understand how special u r 2 me ring u 2morrow luv u xxx,0,0.0
"I noe la... U wana pei bf oso rite... K lor, other days den...",0,0.0
I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,0,0.0
I re-met alex nichols from middle school and it turns out he's dealing!,0,0.0
I send the print  outs da.,0,0.0
"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",0,0.0
I sent them. Do you like?,0,0.0
I sent your maga that money yesterday oh.,0,0.0
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,0,0.0
I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,0,0.0
"I think I���m waiting for the same bus! Inform me when you get there, if you ever get there.",0,0.0
I think it's all still in my car,0,0.0
I think its far more than that but find out. Check google maps for a place from your dorm.,0,0.0
I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,0,0.0
I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,0,0.0
I thk �_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present.,0,0.0
I told that am coming on wednesday.,0,0.0
I walked an hour 2 c u! doesn��t that show I care y wont u believe im serious?,0,0.0
I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,0,1.0
I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,0,0.0
I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,0,0.0
I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),0,0.0
I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,0,0.0
I was just callin to say hi. Take care bruv!,0,0.0
I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,0,0.0
I will be outside office take all from there,0,0.0
I will lick up every drop :) are you ready to use your mouth as well?,0,0.0
I will reach ur home in  &lt;#&gt;  minutes,0,0.0
I will send them to your email. Do you mind  &lt;#&gt;  times per night?,0,0.0
I will take care of financial problem.i will help:),0,0.0
I wish u were here. I feel so alone,0,0.0
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,0,0.0
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,0,0.0
I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,0,0.0
I'll be at mu in like  &lt;#&gt;  seconds,0,0.0
I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...,0,0.0
I'll pick you up at about 5.15pm to go to taunton if you still want to come.,0,0.0
"I'll text carlos and let you know, hang on",0,0.0
"I'm a guy, browsin is compulsory",0,0.0
I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,0,0.0
I'm at work. Please call,0,0.0
I'm awake oh. What's up.,0,0.0
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,0,0.0
I'm done oredi...,0,0.0
I'm e person who's doing e sms survey...,0,0.0
I'm fine. Hope you are good. Do take care.,0,0.0
I'm good. Have you registered to vote?,0,0.0
"I'm home, my love ... If your still awake ... *loving kiss*",0,0.0
I'm in a movie. Call me 4 wat?,0,0.0
I'm in class. Will holla later,0,0.0
I'm in inside office..still filling forms.don know when they leave me.,0,0.0
I'm job profile seems like bpo..,0,0.0
I'm meeting Darren...,0,0.0
I'm not sure if its still available though,0,0.0
I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.,0,0.0
I'm on the bus. Love you,0,0.0
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,0.0
I've told you everything will stop. Just dont let her get dehydrated.,0,0.0
I.ll give her once i have it. Plus she said grinule greet you whenever we speak,0,0.0
